,ASIN,GROUP,FORMAT,TITLE,AUTHOR,PUBLISHER,Description,Price,Rating
1011,1492657107,book,hardcover,Seven Bad Cats,Moe Bonneau,Sourcebooks Jabberwocky," There once were seven very BAD cats...Seven cats anywhere are probably too many. Seven BAD cats, all in one boat, is asking for trouble...When a band of very bad cats stow away on a little girl's boat she knows she's in for a bumpy ride. But when they take their antics too far they just might ruin her whole trip!",$12.59,5.0
1012,0393292347,book,hardcover,The Last Cowboys: A Pioneer Family in the New West,John Branch,W. W. Norton & Company,,,
1013,3895334111,book,hardcover,Schnaps brennen als Hobby,Helge Malle Bettina; Schmickl,Werkstatt Gmbh,,$24.32,
1014,346204561X,book,hardcover,Da geht noch was,Christine Westermann,Kiepenheuer & Witsch GmbH,,$20.27,5.0
1015,3100022831,book,hardcover,Das Labyrinth der Lichter,"Carlos Ruiz ZafÃ³n, Peter Schwaar","Fischer, S.",,$33.52,
1016,1786341107,book,hardcover,Anomaly! Collider Physics and the Quest for New Phenomena at Fermilab,Tommaso Dorigo,World Scientific Publishing Europe Ltd,,,
1017,0199792054,book,hardcover,Grounds of Judgment: Extraterritoriality and Imperial Power in Nineteenth-Century China and Japan (Oxford Studies in International History),PÃ¤r Kristoffer Cassel,"Oxford University Press, USA",,,
1018,0385345623,book,hardcover,"The Skinnytaste Cookbook: Light on Calories, Big on Flavor",Gina Homolka,Clarkson Potter," A New York Times BestsellerGet the recipes everyone is talking about, handy nutrition facts, and 125 stunning photographs in the debut cookbook from the wildly popular blog Skinnytaste. Gina Homolka is America’s most trusted home cook when it comes to easy, flavorful recipes that are miraculously low-calorie and made from all-natural, easy-to-find ingredients. Her blog, Skinnytaste is the number one go-to site for slimmed down recipes that you’d swear are anything but. It only takes one look to see why people go crazy for Gina’s food: cheesy, creamy Fettuccini Alfredo with Chicken and Broccoli with only 420 calories per serving, breakfast dishes like Make-Ahead Western Omelet ""Muffins"" that truly fill you up until lunchtime, and sweets such as Double Chocolate Chip Walnut Cookies that are low in sugar and butter-free but still totally indulgent. The Skinnytaste Cookbook features 150 amazing recipes: 125 all-new dishes and 25 must-have favorites. As a busy mother of two, Gina started Skinnytaste when she wanted to lose a few pounds herself. She turned to Weight Watchers for help and liked the program but struggled to find enough tempting recipes to help her stay on track. Instead, she started “skinny-fying” her favorite meals so that she could eat happily while losing weight. With 100 stunning photographs and detailed nutritional information for every recipe, The Skinnytaste Cookbook is an incredible resource of fulfilling, joy-inducing meals that every home cook will love.(Please note that nutritional information is provided with every recipe, but the most up-to-date Weight Watchers points can be found online at skinnytaste.com.)",$22.49,4.7
1019,1484730887,book,hardcover,Mother Bruce,Ryan T. Higgins,Disney-Hyperion," Bruce the bear likes to keep to himself. That, and eat eggs. But when his hard-boiled goose eggs turn out to be real, live goslings, he starts to lose his appetite. And even worse, the goslings are convinced he's their mother. Bruce tries to get the geese to go south, but he can't seem to rid himself of his new companions. What's a bear to do?",$15.26,4.8
1020,1434708756,book,hardcover,Count It All Joy: Discover a Happiness That Circumstances Cannot Change,David Jeremiah,David C. Cook," The apostle Paul wrote his most personal letter while abused and abandoned in a Roman prison. He wrote to believers who lived in the shadow of the Roman tyrant, Nero. And yet this letter, Philippians, is the most joy-filled epistle in the Bible. Weaving together modern stories and historical detail, Dr. David Jeremiah explores Philippians verse by verse, showing us what it means to be joyful in spite of circumstances. Whatever you are facing today, Count It All Joy will inspire you to find the joy that Jesus promises.",$12.73,4.3
1021,031632700X,book,hardcover,The Witch Hunter,Virginia Boecker,"Little, Brown Books for Young Readers"," The magic and suspense of Graceling meet the political intrigue and unrest of Game of Thrones in this riveting fantasy debut.Your greatest enemy isn't what you fight, but what you fear.Elizabeth Grey is one of the king's best witch hunters, devoted to rooting out witchcraft and doling out justice. But when she's accused of being a witch herself, Elizabeth is arrested and sentenced to burn at the stake.Salvation comes from a man she thought was her enemy. Nicholas Perevil, the most powerful and dangerous wizard in the kingdom, offers her a deal: he will save her from execution if she can break the deadly curse that's been laid upon him.But Nicholas and his followers know nothing of Elizabeth's witch hunting past--if they find out, the stake will be the least of her worries. And as she's thrust into the magical world of witches, ghosts, pirates, and one all-too-handsome healer, Elizabeth is forced to redefine her ideas of right and wrong, of friends and enemies, and of love and hate.Virginia Boecker weaves a riveting tale of magic, betrayal, and sacrifice in this unforgettable fantasy debut. ",$14.25,4.2
1022,1401939988,book,hardcover,Mind Over Medicine: Scientific Proof That You Can Heal Yourself,Lissa Rankin,"Hay House, Inc."," A NEW YORK TIMES BESTSELLERAS SEEN ON NATIONAL PUBLIC TELEVISION      We’ve been led to believe that when we get sick, it’s our genetics. Or it’s just bad luck—and doctors alone hold the keys to optimal health. For years, Lissa Rankin, M.D., believed the same. But when her own health started to suffer, and she turned to Western medical treatments, she found that they not only failed to help; they made her worse. So she decided to take matters into her own hands.     Through her research, Dr. Rankin discovered that the health care she had been taught to practice was missing something crucial: a recognition of the body’s innate ability to self-repair and an appreciation for how we can control these self-healing mechanisms with the power of the mind. In an attempt to better understand this phenomenon, she explored peer-reviewed medical literature and found evidence that the medical establishment had been proving that the body can heal itself for over 50 years.     Using extraordinary cases of spontaneous healing, Dr. Rankin shows how thoughts, feelings, and beliefs can alter the body’s physiology. She lays out the scientific data proving that loneliness, pessimism, depression, fear, and anxiety damage the body, while intimate relationships, gratitude, meditation, sex, and authentic self-expression flip on the body’s self-healing processes.     In the final section of the book, you’ll be introduced to a radical new wellness model based on Dr. Rankin’s scientific findings. Her unique six-step program will help you uncover where things might be out of whack in your life—spiritually, creatively, environmentally, nutritionally, and in your professional and personal relationships—so that you can create a customized treatment plan aimed at bolstering these health-promoting pieces of your life. You’ll learn how to listen to your body’s “whispers” before they turn to life-threatening “screams” that can be prevented with proper self-care, and you’ll learn how to trust your inner guidance when making decisions about your health and your life.     By the time you finish Mind Over Medicine, you’ll have made your own Diagnosis, written your own Prescription, and created a clear action plan designed to help you make your body ripe for miracles. ",$13.85,4.5
1023,1510706267,book,hardcover,"Trout Quintet: Five Stories of Life, Liberty, and the Pursuit of Fly Fishing",Steve Raymond,Skyhorse Publishing,"  This is a new book from the Pacific Northwest’s finest angling writer.  There is an abundance of literature on the pleasure and wonder of fly fishing. The themes are familiar and well traveled: ruminations on aging and the passage of time; musings on marriage and balancing the love of friends and families with that of fishing; reflections on the need for companionship versus the quiet beauty and solitude of fly fishing. Now, Steve Raymond takes these well-explored subjects and views them through the lens of fiction. With flowing prose, the five stories in Trout Quintet touch on some of the more salient topics that the flyfisherman faces, from the problem of overfishing to the sometimes nonsensical rules that anglers must contend with. From the story of a dying man who comes back to life as a rainbow trout to the tale of a young boy and his lucky hat, Trout Quintet is a refreshing evocation of the sport that so many women and men love. Skyhorse Publishing, as well as our Arcade, Yucca, and Good Books imprints, are proud to publish a broad range of books for readers interested in fictionnovels, novellas, political and medical thrillers, comedy, satire, historical fiction, romance, erotic and love stories, mystery, classic literature, folklore and mythology, literary classics including Shakespeare, Dumas, Wilde, Cather, and much more. While not every title we publish becomes a New York Times bestseller or a national bestseller, we are committed to books on subjects that are sometimes overlooked and to authors whose work might not otherwise find a home.",$25.77,4.8
1024,030733998X,book,hardcover,The Ski House Cookbook: Warm Winter Dishes for Cold Weather Fun,"Tina Anderson, Sarah Pinneo",Clarkson Potter," What could be better than standing on top of a mountain, snow sparkling, the slopes calling? Not much, except perhaps skiing down to a warm, home-cooked meal that comes together effortlessly.The Ski House Cookbook makes it all possible with 125 recipes that will keep you on the slopes or winding down with friends afterward, not stuck at the stove. Here are easy and delicious meals designed with minimum prep times for often limited home-away-from-home kitchens, from quick-cooking roasts, sautés, and other fast meals to slow-cooker dishes and recipes that can be made in advance and frozen. And, to get you in the right frame of mind, each recipe is coded with a difficulty rating that corresponds to the familiar green dots, blue squares, and black diamonds of the slopes.Start the day with ’Twas the Night Before French Toast (assembled in advance and baked in the morning) to keep you going until lunchtime, when a Colorado Cubano (made in a flash from readily available deli meats) will refuel you for the afternoon. An entire chapter of après-ski snacks, including Green Mountain Fondue and Spicy Roasted Chickpeas, helps tide you over until dinner, which includes tempting options such as Roasted Pork Loin with Cherry Balsamic Pan Sauce, Mogul Beef Chili, and Roasted Brussels Sprouts with Bacon. Hearty soups and pastas and indulgent desserts round out this collection of recipes that will warm you up from the inside out.In addition to the irresistible recipes, The Ski House Cookbook offers practical information on cooking at high altitudes, a section on getting the most out of your slow cooker, and 50 beautiful full-color photographs of the great dishes and snowy landscapes that skiers love. So whether you’re hitting the slopes or just dreaming of days in the lodge, a double diamond pro or struggling down the bunny hill for the first time, here is your go-to guide to making easy, satisfying, and comforting winter meals.",$25.50,4.5
1025,0545813069,book,hardcover,Battle for Bearhaven (Secrets of Bearhaven #4),"K.E. Rocha, K. E. Rocha",Scholastic Press," Spencer Plain is ready to help build a new Bearhaven--a place where bears live in community and help rescue other bears around the world. But the city itself is in trouble now--the evil Pam wants to capture the bears and sell them, and it's up to the Council to move the city to a safe, new location.Except that Pam shows up right in the middle of their move, cutting off Spencer from his parents and kidnapping most of the Bearhaven bears. Spencer doesn't know how to keep the free bears safe, save the captured bears, and get word to his parents at the new Bearhaven all at once, but he's going to have to figure it out, fast, to stop Pam once and for all!",$9.93,5.0
1026,1909302880,book,hardcover,AKITI the HUNTER,"Anthony Mata, Bolaji Ajayi",Abela Publishing," Akiti the hunter is riveting and exciting tale that will leave you at the edge of your seat page by page. With amazing and colorful illustrations and a heartfelt message, this book is sure to warm your heart and lead the mind to a world of imagination. Witness the power of his Magical dust that can transform you into any animal in the kingdom of the forest, and experience his lyrical song that is bound to uplift and empower the young reader. Take a journey with us as we explore the world of AKITI the Hunter, the first African Action Hero.",$19.49,3.4
1027,0544558146,book,hardcover,"Birding Without Borders: An Obsession, a Quest, and the Biggest Year in the World",Noah Strycker,Houghton Mifflin Harcourt," Traveling to 41 countries in 2015 with a backpack and binoculars, Noah Strycker became the first person to see more than half the world’s 10,000 species of birds in one year. In 2015, Noah Strycker set himself a lofty goal: to become the first person to see half the world’s birds in one year. For 365 days, with a backpack, binoculars, and a series of one-way tickets, he traveled across forty-one countries and all seven continents, eventually spotting 6,042 species—by far the biggest birding year on record.This is no travelogue or glorified checklist. Noah ventures deep into a world of blood-sucking leeches, chronic sleep deprivation, airline snafus, breakdowns, mudslides, floods, war zones, ecologic devastation, conservation triumphs, common and iconic species, and scores of passionate bird lovers around the globe. By pursuing the freest creatures on the planet, Noah gains a unique perspective on the world they share with us—and offers a hopeful message that even as many birds face an uncertain future, more people than ever are working to protect them.  ",$14.21,4.8
1028,1455553905,book,hardcover,Soar!: Build Your Vision from the Ground Up,T. D. Jakes,FaithWords," You don't have to be an entrepreneur to think like one and take flight with your dreams.  Too often we remain in jobs that stifle our souls and leave us on the runway of opportunity with the engine of our deepest passion stalled, watching others make their personal vision a reality and build a legacy for their children-the opposite of what God intends for us. But it's never too late to get your dreams off the ground! If you long to maximize your unique abilities and aptitudes, if you strive to combine personal fulfillment with professional satisfaction, if you dream of creating exceptional goods and offering transformative services and fulfilling God's destiny for you, then you are ready to SOAR!  In SOAR! T.D. Jakes reveals how to build the uniquely personal vision within each of us into our special contribution to the world. Blending the practical business acumen of a successful, global CEO with the dynamic inspiration of a life coach, SOAR! provides the tools needed to ignite our imaginations into action and challenges us to embrace our God-given purpose as we align our character and creativity with our careers.  Bridging both the corporate and nonprofit worlds, SOAR! is a practical and easy-to-follow flight plan for launching the entrepreneurial drive inside each of us. It provides an inspiring look into the mindset of people who don't wait to see what will happen but strategically build the wings that will take them to new heights. So buckle your seat belts and prepare for liftoff-you have been cleared to fly beyond your fears, to absolutely SOAR!",$17.78,4.7
1029,0307961400,book,hardcover,"Texas Blood: Seven Generations Among the Outlaws, Ranchers, Indians, Missionaries, Soldiers, and Smugglers of the Borderlands",Roger D. Hodge,Knopf," In the tradition of Ian Frazier's Great Plains, and as vivid as the work of Cormac McCarthy, an intoxicating, singularly illuminating history of the Texas borderlands from their settlement through seven generations of Roger D. Hodge's ranching family. What brought the author's family to Texas? What is it about Texas that for centuries has exerted a powerful allure for adventurers and scoundrels, dreamers and desperate souls, outlaws and outliers? In search of answers, Hodge travels across his home state--which he loves and hates in shifting measure--tracing the wanderings of his ancestors into forgotten histories along vanished roads. Here is an unsentimental, keenly insightful attempt to grapple with all that makes Texas so magical, punishing, and polarizing. Here is a spellbindingly evocative portrait of the borderlands--with its brutal history of colonization, conquest, and genocide; where stories of death and drugs and desperation play out daily. And here is a contemplation of what it means that the ranching industry that has sustained families like Hodge's for almost two centuries is quickly fading away, taking with it a part of our larger, deep-rooted cultural inheritance. A wholly original fusion of memoir and history--as piercing as it is elegiac--Texas Blood is a triumph.",$19.68,3.8
1030,0545504929,book,hardcover,Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot (Captain Underpants #12),Dav Pilkey,Scholastic Inc.," There's something rotten in the state of Ohio, and it's smellier than a pile of putrid gym socks! Steer clear -- it's Sir Stinks-A-Lot! George and Harold, and their doubles, Yesterday George and Yesterday Harold, have a good thing going. Two of them go to school, while the other two hide in the tree house and play video games all day -- then they switch! But when their malicious gym teacher, Mr. Meaner, creates a method of mind-control that turns their fellow students into attentive, obedient, perfect children, the future of all humanity will be in their hands!",$8.48,4.6
1031,0198744420,book,hardcover,A Foot in the River: Why Our Lives Change - and the Limits of Evolution,Felipe Fernandez-Armesto,Oxford University Press,,,
1032,1442232382,book,hardcover,Beyond Physicalism: Toward Reconciliation of Science and Spirituality,"Edward F. Kelly, Adam Crabtree, Paul Marshall, Harald Atmanspacher, Loriliai Biernacki, Bernard Carr",Rowman & Littlefield Publishers,,,
1033,3937248196,book,hardcover,Forgerons Et Siderurgie En Pays Dogon: Vers Une Histoire De La Production Du Fer Sur Le Plateau De Bandiagara (Mali) Durant Les Empires Precoloniaux ... Monograph Series) (French Edition),Caroline Robion-Brunner,Africa Magna Verlag,,,
1034,031646578X,book,hardcover,"Baking with Steel: The Revolutionary New Approach to Perfect Pizza, Bread, and More","Andris Lagsdin, J. Kenji LÂ¿pez-Alt, Jessie Oleson Moore","Little, Brown and Company"," brand new book, never used.",$19.49,4.7
1035,0141384735,book,hardcover,My Really Big Charlie and Lola Annual 2010,Lauren Child,Puffin Books,,,
1036,0849300967,book,hardcover,"The Finite Element Method Using MATLAB, Second Edition","Young W. Kwon, Hyochoong Bang",CRC Press,,,
1037,0789212676,book,hardcover,"Ancient Skies, Ancient Trees","Beth Moon, Clark Strand, Jana Grcevich",Abbeville Press," Throughout much of the world, night skies are growing increasingly brighter, but the force that protects the remaining naturally dark sky, unpolluted by artificial light, is the same that saves its ancient treesisolation. Staking out some of the world’s last dark places, photographer Beth Moon uses a digital camera to reveal constellations, nebulae, and the Milky Way, in rich hues that are often too faint to be seen by the naked eye. As in her acclaimed first volume, Ancient Trees: Portraits of Time, these magnificent images encounter great arboreal specimens, including baobabs, olive trees, and redwoods, in such places as South Africa, England, and California.In her artist’s statement, Beth Moon describes the experience of shooting at night in these remote places. An essay by Jana Grcevich, postdoctoral fellow of astrophysics at the American Museum of Natural History, provides the perspective of a scientist racing to study the stars in a world growing increasingly brighter. Clark Strand, the author of Waking Up to the Dark: Ancient Wisdom for a Sleepless Age, takes a different tack, illuminating the inherent spirituality of trees.",$33.96,4.7
1038,0062322524,book,hardcover,The Saboteur: The Aristocrat Who Became France's Most Daring Anti-Nazi Commando,Paul Kix,Harper," In the tradition of Agent Zigzag comes this breathtaking biography, as fast-paced and emotionally intuitive as the very best spy thrillers, which illuminates an unsung hero of the French Resistance during World War II—Robert de La Rochefoucauld, an aristocrat turned anti-Nazi saboteur—and his daring exploits as a résistant trained by Britain’s Special Operations Executive.A scion of one of the most storied families in France, Robert de La Rochefoucauld was raised in magnificent chateaux and educated in Europe's finest schools. When the Nazis invaded and imprisoned his father, La Rochefoucauld escaped to England and learned the dark arts of anarchy and combat—cracking safes and planting bombs and killing with his bare hands—from the officers of Special Operations Executive, the collection of British spies, beloved by Winston Churchill, who altered the war in Europe with tactics that earned it notoriety as the “Ministry of Ungentlemanly Warfare.” With his newfound skills, La Rochefoucauld returned to France and organized Resistance cells, blew up fortified compounds and munitions factories, interfered with Germans’ war-time missions, and executed Nazi officers. Caught by the Germans, La Rochefoucauld withstood months of torture without cracking, and escaped his own death, not once but twice.The Saboteur recounts La Rochefoucauld’s enthralling adventures, from jumping from a moving truck on his way to his execution to stealing Nazi limos to dressing up in a nun’s habit—one of his many disguises and impersonations. Whatever the mission, whatever the dire circumstance, La Rochefoucauld acquitted himself nobly, with the straight-back aplomb of a man of aristocratic breeding: James Bond before Ian Fleming conjured him.More than just a fast-paced, true thriller, The Saboteur is also a deep dive into an endlessly fascinating historical moment, telling the untold story of a network of commandos that battled evil, bravely worked to change the course of history, and inspired the creation of America’s own Central Intelligence Agency.",$15.25,4.4
1039,1509844333,book,hardcover,The How Not to Die Cookbook,"Gene Stone (co-author), Robin Robertson (co-author) Dr Michael Greger (author)",Macmillan," BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering.",$24.00,4.3
1040,1524524441,book,hardcover,Smoke and Mirrors: Police Dreams,Jordan P. Castro,Xlibris," Xlibris author Jordan P. Castro has seen his book Smoke and Mirrors: Police Dreams reviewed by the New York Times. The review praises Jordan Castro's prose and writing, comparing it to the works of such writers as Mike Hammer. The New York Times review also positively upholds Jordan Castro's dialogue, citing it as gritty and emotionally evocative. Jordan Castro is an active NYPD sergeant who began assembling his literary painting on the pages of his police memorandum pad and restaurant napkins while on patrol in the Bronx and Harlem. Born in Washington Heights to Cuban parents, his dreams were supported and nurtured by a mother and father who enrolled him in arts programs where he cultivated the bold strokes of his vivid writing style. Inspired by English teachers, who awakened him to the universes of Shakespeare, Jane Austen, and F. Scott Fitzgerald, Jordan believed it was his destiny to contribute memorably to the literary landscape while honoring his predecessors. The original New York Times article and review can be read at: https://mobile.nytimes.com/2017/12/21/nyregion/wartime-law-time-and-a-stop-by-the-park.html?smid=tw-share&referer=https://t.co/BMrRakzWcO?amp=1 ",$22.99,4.8
1041,0062469770,book,hardcover,Beauty Sick: How the Cultural Obsession with Appearance Hurts Girls and Women,Renee Engeln PhD,Harper," An award-winning Northwestern University psychology professor reveals how the cultural obsession with women's appearance is an epidemic that harms women's ability to get ahead and to live happy, meaningful lives, in this powerful, eye-opening work in the vein of Naomi Wolf, Peggy Orenstein, and Sheryl Sandberg.Today’s young women face a bewildering set of contradictions when it comes to beauty. They don’t want to be Barbie dolls but, like generations of women before them, are told they must look like them. They’re angry about the media’s treatment of women but hungrily consume the very outlets that belittle them. They mock modern culture’s absurd beauty ideal and make videos exposing Photoshopping tricks, but feel pressured to emulate the same images they criticize by posing with a ""skinny arm."" They understand that what they see isn’t real but still download apps to airbrush their selfies. Yet these same young women are fierce fighters for the issues they care about. They are ready to fight back against their beauty-sick culture and create a different world for themselves, but they need a way forward.In Beauty Sick, Dr. Renee Engeln, whose TEDx talk on beauty sickness has received more than 250,000 views, reveals the shocking consequences of our obsession with girls’ appearance on their emotional and physical health and their wallets and ambitions, including depression, eating disorders, disruptions in cognitive processing, and lost money and time. Combining scientific studies with the voices of real women of all ages, she makes clear that to truly fulfill their potential, we must break free from cultural forces that feed destructive desires, attitudes, and words—from fat-shaming to denigrating commentary about other women. She provides inspiration and workable solutions to help girls and women overcome negative attitudes and embrace their whole selves, to transform their lives, claim the futures they deserve, and, ultimately, change their world.",$14.82,4.7
